RetailCategoryName,ProductName,TransactionDate,Store Name,Scoring Type,Scoring Value,Sum of #SalesAmount,Sum of #SalesQuantity
Men's Outerwear,Mens Fleece Jacket,2016-01-08 12:00:00,Scottsdale,SalesScore,MEDIUM,479.97,3
Men's Outerwear,Mens Fleece Jacket,2016-04-12 12:00:00,Cincinnati,SalesScore,MEDIUM,479.97,3
Men's Outerwear,Mens Fleece Jacket,2016-12-07 12:00:00,San Diego,SalesScore,MEDIUM,479.97,3
Children's Pants,Childrens Insulated Snow Pants,2015-01-18 12:00:00,Atlantic City,#OrdersScore,BAD,479.94,6
Children's Pants,Childrens Insulated Snow Pants,2015-01-18 12:00:00,Atlantic City,SalesScore,BAD,479.94,6
Mens Shoes,Suede Leather Slip-on Loafer,2022-12-21 12:00:00,San Francisco,#OrdersScore,BAD,476,2
Mens Shoes,Suede Leather Slip-on Loafer,2022-12-21 12:00:00,San Francisco,SalesScore,MEDIUM,476,2
Men's Pants,Mens Snow Pants,2015-01-09 12:00:00,Austin,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2015-01-09 12:00:00,Austin,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2015-01-14 12:00:00,Bellevue,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2015-01-21 12:00:00,Cambridge,#OrdersScore,BAD,449.97,3
Women's Pants,Womens Snow Pants,2015-01-28 12:00:00,Cincinnati,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2015-02-21 12:00:00,Austin,#OrdersScore,BAD,449.97,3
Women's Pants,Womens Snow Pants,2015-03-30 12:00:00,Bellevue,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2015-04-06 12:00:00,Tysons Corner,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2015-05-09 12:00:00,Houston,#OrdersScore,BAD,449.97,3
Women's Pants,Womens Snow Pants,2015-05-24 12:00:00,Seattle,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2015-06-09 12:00:00,Houston,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2015-07-22 12:00:00,Lone Tree,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2015-07-30 12:00:00,Atlantic City,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2015-08-11 12:00:00,San Diego,#OrdersScore,BAD,449.97,3
Women's Pants,Womens Snow Pants,2015-09-13 12:00:00,Atlanta,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2015-10-07 12:00:00,Chicago,#OrdersScore,BAD,449.97,3
Women's Pants,Womens Snow Pants,2015-10-10 12:00:00,Bellevue,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2015-10-26 12:00:00,San Diego,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2015-11-19 12:00:00,Los Angeles,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2015-12-11 12:00:00,San Diego,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2015-12-18 12:00:00,Oak Brook,#OrdersScore,BAD,449.97,3
Women's Pants,Womens Snow Pants,2015-12-25 12:00:00,Austin,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2015-12-27 12:00:00,Chicago,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2016-02-03 12:00:00,Oak Brook,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2016-05-10 12:00:00,Bellevue,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2016-05-27 12:00:00,New York,#OrdersScore,BAD,449.97,3
Women's Pants,Womens Snow Pants,2016-06-14 12:00:00,Atlantic City,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2016-06-28 12:00:00,Philadelphia,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2016-06-28 12:00:00,Seattle,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2016-07-03 12:00:00,Oak Brook,#OrdersScore,BAD,449.97,3
Women's Pants,Womens Snow Pants,2016-07-18 12:00:00,Oak Brook,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2016-08-08 12:00:00,Cincinnati,#OrdersScore,BAD,449.97,3
Women's Pants,Womens Snow Pants,2016-08-28 12:00:00,Seattle,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2016-11-28 12:00:00,Cincinnati,#OrdersScore,BAD,449.97,3
Women's Pants,Womens Snow Pants,2016-12-01 12:00:00,Cambridge,#OrdersScore,BAD,449.97,3
Men's Running Shoes,Mens Sneaker,2016-12-08 12:00:00,Los Angeles,#OrdersScore,BAD,449.97,3
Men's Pants,Mens Snow Pants,2015-01-09 12:00:00,Austin,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2015-01-09 12:00:00,Austin,SalesScore,MEDIUM,449.97,3
Men's Pants,Mens Snow Pants,2015-01-14 12:00:00,Bellevue,SalesScore,MEDIUM,449.97,3
Men's Pants,Mens Snow Pants,2015-02-21 12:00:00,Austin,SalesScore,MEDIUM,449.97,3
Women's Pants,Womens Snow Pants,2015-03-30 12:00:00,Bellevue,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2015-04-06 12:00:00,Tysons Corner,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2015-04-12 12:00:00,New York,SalesScore,MEDIUM,449.97,3
Men's Pants,Mens Snow Pants,2015-05-09 12:00:00,Houston,SalesScore,MEDIUM,449.97,3
Women's Pants,Womens Snow Pants,2015-05-24 12:00:00,Seattle,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2015-06-09 12:00:00,Houston,SalesScore,MEDIUM,449.97,3
Men's Pants,Mens Snow Pants,2015-07-22 12:00:00,Lone Tree,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2015-07-30 12:00:00,Atlantic City,SalesScore,MEDIUM,449.97,3
Men's Pants,Mens Snow Pants,2015-08-11 12:00:00,San Diego,SalesScore,MEDIUM,449.97,3
Women's Pants,Womens Snow Pants,2015-09-13 12:00:00,Atlanta,SalesScore,MEDIUM,449.97,3
Men's Pants,Mens Snow Pants,2015-10-07 12:00:00,Chicago,SalesScore,MEDIUM,449.97,3
Women's Pants,Womens Snow Pants,2015-10-10 12:00:00,Bellevue,SalesScore,MEDIUM,449.97,3
Men's Pants,Mens Snow Pants,2015-10-26 12:00:00,San Diego,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2015-11-19 12:00:00,Los Angeles,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2015-12-11 12:00:00,San Diego,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2015-12-18 12:00:00,Oak Brook,SalesScore,MEDIUM,449.97,3
Women's Pants,Womens Snow Pants,2015-12-25 12:00:00,Austin,SalesScore,MEDIUM,449.97,3
Men's Pants,Mens Snow Pants,2015-12-27 12:00:00,Chicago,SalesScore,MEDIUM,449.97,3
Men's Pants,Mens Snow Pants,2016-02-03 12:00:00,Oak Brook,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2016-05-10 12:00:00,Bellevue,SalesScore,MEDIUM,449.97,3
Men's Pants,Mens Snow Pants,2016-05-27 12:00:00,New York,SalesScore,MEDIUM,449.97,3
Women's Pants,Womens Snow Pants,2016-06-14 12:00:00,Atlantic City,SalesScore,MEDIUM,449.97,3
Men's Pants,Mens Snow Pants,2016-06-28 12:00:00,Philadelphia,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2016-06-28 12:00:00,Seattle,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2016-07-03 12:00:00,Oak Brook,SalesScore,MEDIUM,449.97,3
Women's Pants,Womens Snow Pants,2016-07-18 12:00:00,Oak Brook,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2016-08-08 12:00:00,Cincinnati,SalesScore,MEDIUM,449.97,3
Women's Pants,Womens Snow Pants,2016-08-28 12:00:00,Seattle,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2016-11-28 12:00:00,Cincinnati,SalesScore,MEDIUM,449.97,3
Women's Pants,Womens Snow Pants,2016-12-01 12:00:00,Cambridge,SalesScore,MEDIUM,449.97,3
Men's Running Shoes,Mens Sneaker,2016-12-08 12:00:00,Los Angeles,SalesScore,MEDIUM,449.97,3
Casual Shirts,Plaid Merino Wool Button Up Shirt,2022-12-20 12:00:00,San Francisco,SalesScore,MEDIUM,418,2
Men's Outerwear,Mens Rain Jacket,2016-10-01 12:00:00,Atlanta,#OrdersScore,BAD,399.96,4
Men's Outerwear,Mens Rain Jacket,2016-10-01 12:00:00,Atlanta,SalesScore,BAD,399.96,4
Mens Shoes,Grand Cap Toe Leather Oxfords,2022-12-20 12:00:00,San Francisco,SalesScore,MEDIUM,370.5,1
Men's Outerwear,Mens Fleece Jacket,2015-01-01 12:00:00,Atlanta,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-02 12:00:00,Atlantic City,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-14 12:00:00,Bellevue,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-27 12:00:00,Chicago,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-29 12:00:00,Atlanta,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-30 12:00:00,Bellevue,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-02-17 12:00:00,Atlanta,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-02-22 12:00:00,Lone Tree,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-02-24 12:00:00,Seattle,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-03-03 12:00:00,Lone Tree,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-03-18 12:00:00,Columbia,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-04-03 12:00:00,Lone Tree,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-04-15 12:00:00,Costa Mesa,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-05-08 12:00:00,Cincinnati,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-05-16 12:00:00,New York,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-06-01 12:00:00,New York,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-06-06 12:00:00,Tysons Corner,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-06-16 12:00:00,New York,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-06-19 12:00:00,Los Angeles,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-06-30 12:00:00,Atlantic City,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-07-01 12:00:00,Atlanta,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-07-26 12:00:00,Miami,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-08-03 12:00:00,Oak Brook,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-08-12 12:00:00,Cincinnati,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-08-23 12:00:00,Chicago,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-08-27 12:00:00,Scottsdale,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-08-31 12:00:00,New York,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-09-02 12:00:00,Tysons Corner,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-09-11 12:00:00,San Diego,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-09-16 12:00:00,New York,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-09-26 12:00:00,San Diego,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-09-28 12:00:00,Philadelphia,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-09-29 12:00:00,Santa Clara,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-10-06 12:00:00,Columbia,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-10-11 12:00:00,Costa Mesa,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-10-16 12:00:00,New York,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-10-24 12:00:00,Cincinnati,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-11-05 12:00:00,Cambridge,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-11-08 12:00:00,Los Angeles,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-11-13 12:00:00,Houston,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-11-27 12:00:00,Costa Mesa,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-11-30 12:00:00,Miami,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-12-09 12:00:00,Austin,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-12-18 12:00:00,Oak Brook,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-12-25 12:00:00,Houston,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-12-26 12:00:00,Bellevue,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-12-29 12:00:00,Santa Clara,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-12-31 12:00:00,Costa Mesa,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-01-16 12:00:00,New York,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-01-26 12:00:00,San Diego,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-02-06 12:00:00,Columbia,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-02-12 12:00:00,New York,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-03-05 12:00:00,Austin,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-03-16 12:00:00,New York,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-04-02 12:00:00,Columbia,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-04-05 12:00:00,Austin,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-04-26 12:00:00,Bellevue,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-06-01 12:00:00,Cambridge,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-06-17 12:00:00,Tysons Corner,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-06-21 12:00:00,Cambridge,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-06-25 12:00:00,Santa Clara,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-06-29 12:00:00,Houston,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-07-02 12:00:00,Tysons Corner,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-07-08 12:00:00,Los Angeles,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-07-13 12:00:00,Seattle,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-07-22 12:00:00,Columbia,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-07-28 12:00:00,Philadelphia,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-08-17 12:00:00,Tysons Corner,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-08-22 12:00:00,Lone Tree,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-08-27 12:00:00,New York,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-09-17 12:00:00,Tysons Corner,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-09-24 12:00:00,Cincinnati,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-10-05 12:00:00,Austin,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-10-06 12:00:00,Columbia,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-10-17 12:00:00,Atlanta,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-10-18 12:00:00,Atlantic City,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-11-05 12:00:00,Cambridge,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-11-19 12:00:00,Los Angeles,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-12-06 12:00:00,Columbia,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-12-13 12:00:00,Seattle,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-12-21 12:00:00,Tysons Corner,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2016-12-29 12:00:00,Santa Clara,#OrdersScore,BAD,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-01 12:00:00,Atlanta,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-02 12:00:00,Atlantic City,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-12 12:00:00,Scottsdale,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-14 12:00:00,Bellevue,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-27 12:00:00,Chicago,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-29 12:00:00,Atlanta,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-01-30 12:00:00,Bellevue,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-02-08 12:00:00,Scottsdale,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-02-17 12:00:00,Atlanta,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-02-22 12:00:00,Lone Tree,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-02-24 12:00:00,Seattle,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-03-03 12:00:00,Lone Tree,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-03-18 12:00:00,Columbia,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-04-01 12:00:00,Atlanta,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-04-03 12:00:00,Lone Tree,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-04-15 12:00:00,Costa Mesa,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-05-08 12:00:00,Cincinnati,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-05-16 12:00:00,New York,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-06-01 12:00:00,New York,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-06-06 12:00:00,Tysons Corner,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-06-16 12:00:00,New York,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-06-19 12:00:00,Los Angeles,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-06-30 12:00:00,Atlantic City,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-07-26 12:00:00,Miami,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-08-03 12:00:00,Oak Brook,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-08-12 12:00:00,Cincinnati,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-08-23 12:00:00,Chicago,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-08-27 12:00:00,Scottsdale,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-08-31 12:00:00,New York,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-09-11 12:00:00,San Diego,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-09-16 12:00:00,New York,SalesScore,MEDIUM,319.98,2
Men's Outerwear,Mens Fleece Jacket,2015-09-23 12:00:00,Los Angeles,SalesScore,MEDIUM,319.98,2
